Entidad,Archivo,Area,PK,Props,Nav
tblbankaccntclasification,bankaccntclasactive,Bancos,idbankaccntclasification,idbankaccntclasification:int; bankaccntclasname:string; bankaccntclasshortname:string; bankaccntclasdescription:string; bankaccntclasactive:bool,tblbankaccount
tblexpensereportsourcedatatypes,expensereportsourcedatatypesactive,Other,idexpensereportsourcedatatypes,idexpensereportsourcedatatypes:int; idexpensereportsourcedata:int; idtype:int; expensereportsourcedatatypesactive:bool,tblexpensereportsourcedata
tblincomeattach,incomeattachactive,Facturacion/Ingresos,idincomeattach,idincomeattach:int; idincome:long; idattach:int; incomeattachname:string; incomeattachshortname:string; incomeattachdirectory:string; incomeattachcontenttype:string; incomeattachuserlastchange:int; incomeattachdatelastchange:Nullable<System.DateTime>; incomeattachactive:bool,tblattachments; tblincome; tblusers
tblreservationsparentcancellation,exchangeRate,Pagos/Reservas,idReservationParentCancel,idReservationParentCancel:int; idReservationParent:Nullable<int>; cancellationDate:Nullable<System.DateTime>; cancellationReason:string; idCancelType:Nullable<int>; idCurrency:Nullable<int>; terminal:Nullable<int>; amountReturned:Nullable<decimal>; exchangeRate:Nullable<decimal>,tblcurrencies; tblreservationsparent
tblbankprodttype,bankprodttypeactive,Bancos,idbankprodttype,idbankprodttype:int; bankprodttypename:string; bankprodttypeshortname:string; bankprodttypedescription:string; bankprodttypeactive:bool,tblbaccounprodttype; tblincomemovement; tblpayment
tblincomemovement,incomemovauthcode,Facturacion/Ingresos,idincomeMovement,idincomeMovement:long; idincome:long; idbaccount:int; idbankaccnttype:int; idtpv:Nullable<int>; incomemovcard:string; incomemovapplicationdate:System.DateTime; incomemovchargedamount:decimal; incomemovauthref:string; incomemovcreationdate:System.DateTime; incomemovcreatedby:int; incomemovupdatedon:System.DateTime,tblbankaccount; tblbankprodttype; tblbankstateincome; tblincome; tbltpv; tblbankstat2income
tblbankaccountsourcedata,sourcedatadatestart,Bancos,idbankaccountsourcedata,idbankaccountsourcedata:int; idbaccount:int; idsourcedata:int; sourcedatadatestart:System.DateTime,tblbankaccount; tblsourcedata; tblbankaccountsourcedatatypes
tblmembers,schedulePreference,Other,idMember,idMember:int; idCountry:Nullable<int>; idMembership:int; memberFirstName:string; memberLastName:string; memberBirthday:Nullable<System.DateTime>; memberStreetAddress:string; memberCity:string; memberState:string; memberZipCode:string; memberTelephoneHome:string; memberTelephoneMobile:string,tblmemberships; tblreservations
tblbankstatements2,bankstatements2BankFee,Bancos,idBankStatements2,idBankStatements2:long; idBAccount:int; idMovementType:int; bankstatements2AplicationDate:System.DateTime; bankstatements2Concept:string; bankstatements2Charge:Nullable<decimal>; bankstatements2Pay:Nullable<decimal>; bankstatements2CreatedBy:Nullable<int>; bankstatements2CreatedOn:Nullable<System.DateTime>; bankstatements2UpdatedBy:Nullable<int>; bankstatements2UpdatedOn:Nullable<System.DateTime>; bankstatements2Reconciled:bool,tblusers; tblusers1; tblbankaccount; tblbankstat2fondo; tblbankstat2fondo1; tblbankstat2income; tblbankstat2invoice; tblbankstat2parentreserv
tblaccountsl2,accountl2order,Other,idaccountl2,idaccountl2:int; idaccountl1:int; accountl2name:string; accountl2description:string; accountl2active:Nullable<bool>; accountl2order:int,tblaccountsl1; tblaccountsl3
tblbankstat2income,idBankStatements2,Facturacion/Ingresos,idBankStat2Income,idBankStat2Income:long; idincomeMovement:long; idBankStatements2:long,tblincomemovement; tblbankstatements2
tblpurchasescancellation,exchangeRate,Pagos/Reservas,idPurchaseCancel,idPurchaseCancel:int; idPurchase:Nullable<int>; cancellationDate:Nullable<System.DateTime>; cancellationReason:string; idCancelType:Nullable<int>; idCurrency:Nullable<int>; terminal:Nullable<int>; amountReturned:Nullable<decimal>; exchangeRate:Nullable<decimal>,tblcurrencies; tblpurchases
tblinvoiceditemLog,idbudgettype,Facturacion/Ingresos,idinvoiceitem,LogId:int; LogDate:Nullable<System.DateTime>; LogUser:Nullable<int>; LogObs:string; idinvoiceitem:int; idinvoice:int; idaccl4:int; idinvoiceitemstatus:int; Iduser:int; invoiceditemsubtotal:Nullable<decimal>; description:string; deleted:Nullable<bool>,
tblbankstatementsLog,bankStatementsAuthCode,Bancos,idBankStatements,Log_Id:int; Log_Date:Nullable<System.DateTime>; Log_User:Nullable<int>; Log_Obs:string; idBankStatements:long; idBAccount:int; idTPV:int; idCompany:int; idBankStatementMethod:Nullable<int>; bankstatementAplicationDate:System.DateTime; bankstatementAppliedAmmount:decimal; bankstatementBankFee:Nullable<decimal>,
tblreservationspayment,authCode,Pagos/Reservas,idReservationPayment,idReservationPayment:int; idReservation:Nullable<int>; idPaymentType:Nullable<int>; cardDigits:Nullable<long>; idCurrency:Nullable<int>; terminal:Nullable<int>; reservationPaymentCost:Nullable<decimal>; exchangeRate:Nullable<decimal>; reservationPaymentDate:Nullable<System.DateTime>; authCode:string,tblreservations; tblbankstatereserv; tblbankstat2reserv
tblinvoiceLog,invoicedeleteon,Facturacion/Ingresos,idinvoice,LogId:int; LogDate:Nullable<System.DateTime>; LogUser:Nullable<int>; LogObs:string; idinvoice:long; idcompany:int; idcurrency:Nullable<int>; invoicedate:System.DateTime; invoicenumber:int; invoicecreatedby:int; invoicecreateon:System.DateTime; invoiceupdatedby:int,
tblfondosmaxammountLog,fondosmaxCreationDate,Other,idFondosMax,LogId:int; LogDate:Nullable<System.DateTime>; LogUser:Nullable<int>; LogObs:string; idFondosMax:int; idBAccount:int; fondosmaxAmmount:decimal; fondosmaxCreatedby:int; fondosmaxCreationDate:System.DateTime,
tblbaccounprodttype,baccountprodtypeallowneg,Other,idbaccountprodtype,idbaccountprodtype:int; idbaccount:int; idbankprodttype:int; baccountprodtypecreatedby:int; baccountprodtypecreationdate:System.DateTime; baccountprodtypeactive:bool; baccountprodtypeallowneg:bool,tblbankaccount; tblbankprodttype
tblcompaniesuppliers,idsupplier,Other,idcompanysupplier,idcompanysupplier:int; idcompany:int; idsupplier:int,tblcompanies; tblSuppliers
tblbankstat2purchase,idBankStatements2,Bancos,idBankStat2Purchase,idBankStat2Purchase:long; idPaymentPurchase:int; idBankStatements2:long,tblpaymentspurchases; tblbankstatements2
tblfondosLog,idFinanceType,Other,idFondos,LogId:int; LogDate:Nullable<System.DateTime>; LogUser:Nullable<int>; LogObs:string; idFondos:Nullable<int>; idPaymentMethod:int; idFinancialMethod:int; fondofechaEntrega:System.DateTime; fondoFechaInicio:System.DateTime; fondoFechaFin:System.DateTime; fondoMonto:decimal; fondoCreatedby:int,
tbluserpermissions,userpermissionActive,Usuarios/Empresas,IdUserPermission,IdUserPermission:int; idUser:Nullable<int>; idPermission:Nullable<int>; userpermissionActive:Nullable<bool>,tblpermissions; tblusers
tblbatchdetail,batchmonto,Other,id,id:int; idBatch:Nullable<int>; idPurchase:Nullable<int>; batchUser:Nullable<int>; batchCreate:System.DateTime; batchmonto:Nullable<decimal>,tblpurchases; tblbatch
